Total,Answered,Expired,%Expired,MRT,MRT1,MRT2,MRT3,MRT4,#Runs
39,31,8,20.51,9.95,8.27,12.21,9.86,11.69,50
41,34,7,17.07,10.95,8.49,12.11,11.72,12.93,50
40,18,22,55.0,9.28,8.18,7.91,11.63,6.67,50
42,25,17,40.48,9.83,9.7,10.48,8.84,10.88,50
46,23,23,50.0,10.77,12.48,7.97,11.94,8.16,50
42,33,9,21.43,10.48,8.16,12.66,11.82,10.68,50
44,25,19,43.18,10.05,9.04,9.63,13.45,11.25,50
39,28,11,28.21,8.78,7.73,9.03,10.72,7.59,50
41,25,16,39.02,10.94,10.31,13.34,10.59,3.86,50
38,28,10,26.32,9.47,7.84,12.12,11.27,6.87,50
43,22,21,48.84,9.07,7.77,9.78,10.71,0,50
42,29,13,30.95,10.18,8.93,9.27,13.15,9.1,50
47,34,13,27.66,8.51,8.01,8.78,10.15,7.74,50
34,26,8,23.53,10.0,7.89,8.43,13.14,12.75,50
35,28,7,20.0,9.38,8.09,12.84,8.9,12.16,50
38,19,19,50.0,9.64,7.67,8.87,11.12,11.27,50
46,34,12,26.09,9.59,7.57,10.5,10.15,10.72,50
35,16,19,54.29,10.46,8.92,9.45,16.99,6.17,50
37,20,17,45.95,9.2,8.39,8.79,9.47,10.84,50
44,25,19,43.18,11.13,9.22,11.48,13.32,11.55,50
36,25,11,30.56,11.46,9.3,10.98,13.79,15.51,50
39,31,8,20.51,10.76,8.89,14.38,12.77,6.64,50
32,26,6,18.75,8.29,6.86,7.67,11.01,7.94,50
38,32,6,15.79,11.21,10.31,11.22,10.85,16.8,50
42,28,14,33.33,11.22,10.07,11.79,11.53,16.26,50
34,23,11,32.35,9.64,9.08,6.52,12.33,10.44,50
42,25,17,40.48,9.74,7.48,12.83,12.18,9.58,50
45,17,28,62.22,9.94,8.81,13.2,9.22,0,50
41,25,16,39.02,10.91,10.39,11.3,10.66,13.24,50
37,24,13,35.14,10.14,10.82,7.63,8.28,10.61,50
44,35,9,20.45,9.17,8.01,11.03,8.98,9.66,50
43,25,18,41.86,10.77,10.36,11.82,9.15,9.59,50
45,35,10,22.22,10.59,9.08,10.95,13.53,10.13,50
49,28,21,42.86,9.29,8.08,9.98,9.14,12.93,50
41,27,14,34.15,11.16,11.3,10.0,14.04,12.52,50
38,21,17,44.74,10.43,6.44,10.38,12.95,12.48,50
37,25,12,32.43,9.3,7.21,13.22,8.86,8.54,50
41,23,18,43.9,11.07,9.31,19.08,10.6,10.48,50
45,22,23,51.11,11.49,12.14,8.7,13.88,15.0,50
41,22,19,46.34,12.13,9.38,14.03,15.25,12.85,50
43,31,12,27.91,9.25,8.93,7.63,14.33,9.18,50
43,31,12,27.91,11.38,10.9,9.87,13.3,11.86,50
37,20,17,45.95,12.45,12.02,11.98,15.1,8.66,50
35,32,3,8.57,8.72,6.68,10.0,9.52,8.45,50
33,23,10,30.3,10.22,9.69,10.78,8.64,11.54,50
38,28,10,26.32,9.93,7.5,12.22,10.69,6.5,50
30,26,4,13.33,9.23,6.61,9.93,10.47,9.17,50
49,27,22,44.9,10.89,8.9,10.63,13.5,9.56,50
40,23,17,42.5,8.27,6.86,8.68,9.46,10.89,50
50,36,14,28.0,10.65,8.93,12.57,11.15,11.56,50
43,27,16,37.21,11.5,9.6,11.71,12.36,12.65,50
39,33,6,15.38,11.33,10.19,9.95,12.67,12.65,50
36,21,15,41.67,10.25,10.86,8.31,13.14,13.57,50
36,19,17,47.22,10.22,8.47,11.13,12.09,13.9,50
44,33,11,25.0,9.54,8.29,11.24,9.4,6.32,50
