Steps,Total,Answered,Expired,ExpiredPercentage,PercentageExpired1,PercentageExpired2,PercentageExpired3,PercentageExpired4,Expired1Percentage,Expired2Percentage,Expired3Percentage,Expired4Percentage,MRT,MRT1,MRT2,MRT3,MRT4,Help
100,77,71,6,7.79,0.0,33.33,16.67,50.0,0.0,7.69,5.56,37.5,9.48,8.22,9.78,10.56,10.65,"[0, 0, 0, 0, 0, 0]"
100,87,77,10,11.49,0.0,0.0,60.0,40.0,0.0,0.0,30.0,36.36,9.06,8.36,8.34,11.29,10.29,"[0, 0, 0, 0, 0, 0]"
100,79,76,3,3.8,0.0,0.0,33.33,66.67,0.0,0.0,3.85,28.57,8.55,6.71,10.02,9.01,7.32,"[0, 0, 0, 0, 0, 0]"
100,87,78,9,10.34,33.33,0.0,22.22,44.44,9.38,0.0,9.52,25.0,9.06,9.07,9.29,9.25,8.37,"[0, 0, 0, 0, 0, 0]"
100,87,75,12,13.79,0.0,8.33,33.33,58.33,0.0,5.26,19.05,50.0,7.83,7.01,8.51,8.24,8.97,"[0, 0, 0, 0, 0, 0]"
100,71,64,7,9.86,0.0,0.0,28.57,71.43,0.0,0.0,8.33,41.67,9.64,8.59,9.88,9.61,11.85,"[0, 0, 0, 0, 0, 0]"
100,86,77,9,10.47,0.0,22.22,33.33,44.44,0.0,8.7,11.54,36.36,7.4,6.94,7.49,7.87,7.35,"[0, 0, 0, 0, 0, 0]"
100,76,70,6,7.89,0.0,16.67,16.67,66.67,0.0,4.0,6.67,25.0,8.83,8.0,8.93,9.21,9.59,"[0, 0, 0, 0, 0, 0]"
100,94,85,9,9.57,0.0,0.0,44.44,55.56,0.0,0.0,12.5,38.46,10.56,11.14,10.5,10.73,8.19,"[0, 0, 0, 0, 0, 0]"
100,83,75,8,9.64,12.5,12.5,37.5,37.5,4.0,4.35,12.0,30.0,8.12,7.75,7.2,9.13,9.11,"[0, 0, 0, 0, 0, 0]"
100,92,80,12,13.04,0.0,16.67,41.67,41.67,0.0,6.45,21.74,38.46,8.53,7.27,9.28,9.06,8.53,"[0, 0, 0, 0, 0, 0]"
